timestamp_us,event,value_us
2340017402,udp_inter_packet_us,905
2340017490,udp_decode_us,88
2340017531,udp_write_slice_us,41
2340017536,udp_inter_packet_us,135
2340017623,udp_decode_us,87
2340017658,udp_write_slice_us,35
2340017709,udp_frame_commit_us,51
2340017715,udp_inter_packet_us,178
2340017774,led_acquire_read_us,29161
2340017803,udp_decode_us,89
2340017855,udp_write_slice_us,51
2340017861,udp_inter_packet_us,147
2340017950,udp_decode_us,88
2340018010,udp_write_slice_us,59
2340018014,udp_inter_packet_us,153
2340018104,udp_decode_us,90
2340018142,udp_write_slice_us,38
2340018147,udp_inter_packet_us,133
2340018241,udp_decode_us,94
2340018276,udp_write_slice_us,35
2340018281,udp_inter_packet_us,134
2340018368,udp_decode_us,87
2340018406,udp_write_slice_us,37
2340018454,udp_inter_packet_us,173
2340018585,udp_decode_us,131
2340018625,udp_write_slice_us,39
2340018655,udp_inter_packet_us,201
2340018745,udp_decode_us,90
2340018797,udp_write_slice_us,50
2340018802,udp_inter_packet_us,147
2340018911,udp_decode_us,109
2340019002,udp_write_slice_us,91
2340019211,udp_inter_packet_us,408
2340019295,udp_decode_us,84
2340019331,udp_write_slice_us,36
2340019492,udp_inter_packet_us,281
2340019579,udp_decode_us,88
2340019630,udp_write_slice_us,50
2340019635,udp_inter_packet_us,144
2340019719,udp_decode_us,83
2340019752,udp_write_slice_us,33
2340020237,udp_inter_packet_us,601
2340020321,udp_decode_us,84
2340020376,udp_write_slice_us,55
2340020544,udp_inter_packet_us,308
2340020636,udp_decode_us,92
2340020676,udp_write_slice_us,39
2340020681,udp_inter_packet_us,137
2340020768,udp_decode_us,87
2340020803,udp_write_slice_us,33
2340020807,udp_inter_packet_us,126
2340020891,udp_decode_us,84
2340020929,udp_write_slice_us,37
2340021157,udp_inter_packet_us,350
2340021266,udp_decode_us,109
2340021303,udp_write_slice_us,36
2340022230,udp_inter_packet_us,1072
2340022314,udp_decode_us,84
2340022362,udp_write_slice_us,48
2340022367,udp_inter_packet_us,138
2340022460,udp_decode_us,93
2340022494,udp_write_slice_us,33
2340022499,udp_inter_packet_us,132
2340022583,udp_decode_us,84
2340022622,udp_write_slice_us,39
2340022626,udp_inter_packet_us,127
2340022710,udp_decode_us,84
2340022751,udp_write_slice_us,39
2340022755,udp_inter_packet_us,129
2340022839,udp_decode_us,84
2340022876,udp_write_slice_us,37
2340022881,udp_inter_packet_us,126
2340022965,udp_decode_us,84
2340023012,udp_write_slice_us,46
2340023523,udp_inter_packet_us,641
2340023607,udp_decode_us,85
2340023646,udp_write_slice_us,38
2340024629,udp_inter_packet_us,1107
2340024722,udp_decode_us,92
2340024765,udp_write_slice_us,43
2340025333,udp_inter_packet_us,704
2340025421,udp_decode_us,88
2340025463,udp_write_slice_us,41
2340025469,udp_inter_packet_us,136
2340025583,udp_decode_us,114
2340025617,udp_write_slice_us,34
2340025623,udp_inter_packet_us,153
2340025710,udp_decode_us,88
2340025761,udp_write_slice_us,51
2340025766,udp_inter_packet_us,144
2340025857,udp_decode_us,91
2340025900,udp_write_slice_us,43
2340025905,udp_inter_packet_us,138
2340025988,udp_decode_us,84
2340026024,udp_write_slice_us,34
2340026028,udp_inter_packet_us,124
2340026123,udp_decode_us,95
2340026161,udp_write_slice_us,37
2340026166,udp_inter_packet_us,138
2340026250,udp_decode_us,84
2340026285,udp_write_slice_us,35
2340026290,udp_inter_packet_us,124
2340026384,udp_decode_us,94
2340026422,udp_write_slice_us,38
2340026427,udp_inter_packet_us,137
2340026511,udp_decode_us,84
2340026566,udp_write_slice_us,54
2340026570,udp_inter_packet_us,143
2340026654,udp_decode_us,84
2340026696,udp_write_slice_us,41
2340026700,udp_inter_packet_us,130
2340026784,udp_decode_us,83
